% Model:              Potential_W500_Wp250_Gap100_V1=0-5um,10um_Correct.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 12 2025, 16:03
% Dimension:          1
% Nodes:              335
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Dependent variable u
8.612817003875637E-7      0.13154355173094145
8.735256665786103E-7      0.13395366130864578
8.829521330374732E-7      0.13570310550298018
8.864729643771095E-7      0.13635052418744442
8.968109532540569E-7      0.13815047247973652
9.01059079795177E-7       0.13890070363399504
9.023225260496735E-7      0.13911297391705427
9.156451952132446E-7      0.141314079829371
9.212467356168264E-7      0.1421913998744119
9.295921176860865E-7      0.14348778874996418
9.411298127585489E-7      0.14515758263613562
9.43016280190406E-7       0.1454386589599144
9.457605475067636E-7      0.1458198120216999
9.562640111949544E-7      0.14727920071639264
9.634843144253855E-7      0.14820945082381445
9.695117421995025E-7      0.14900615835837933
9.739560132509652E-7      0.14955872629574446
9.829652032232773E-7      0.15066550757683111
9.904389091646125E-7      0.15153825146467587
9.961405536201983E-7      0.15219996678663536
1.0057454211684463E-6     0.15324008925952004
1.008968311680041E-6      0.15360021404313356
1.0113261222343559E-6     0.15384433795544544
1.0213830298652156E-6     0.15489361091848122
1.0311533432045591E-6     0.1558373060083286
1.0339793033988777E-6     0.15611847260171033
1.0396112186590033E-6     0.15663552501188194
1.0472463715901555E-6     0.1573414609895148
1.0525119090727792E-6     0.15779475558176193
1.0583001113718178E-6     0.15830403926523776
1.0622180957669452E-6     0.15862714025787078
1.0699692763313928E-6     0.15926918382242777
1.0791587555399202E-6     0.15997672822841896
1.0819763489283254E-6     0.16020022651190463
1.0841638995219616E-6     0.16036143366362576
1.0936521681794009E-6     0.16106188310442082
1.104538044377559E-6      0.1618111799302189
1.1053279874304763E-6     0.16186565575120576
1.1063883331480142E-6     0.16193348717202538
1.1164126583315308E-6     0.16259360899181455
1.122217638831839E-6      0.1629551415167904
1.1278809731537515E-6     0.1633001556974938
1.1370167591043833E-6     0.163821939591048
1.1405759758230769E-6     0.16403244918913107
1.1427823578805189E-6     0.16415454712557548
1.1532709784924023E-6     0.1647195618872095
1.1600280968810578E-6     0.16506691200305212
1.1657124971541122E-6     0.16534468163161883
1.1738189745816881E-6     0.16572992202535847
1.1799100951370222E-6     0.1659990896134603
1.1886363295106922E-6     0.16638544194877342
1.1973915413256315E-6     0.16673886134755947
1.202374518623235E-6      0.16694151839224802
1.211862837461299E-6      0.1672921800077536
1.2145541293372192E-6     0.16739316346166302
1.2241365683838124E-6     0.16771684656848684
1.2277824517903013E-6     0.16784244246473703
1.2290417834838185E-6     0.16788112164385444
1.2410107742433832E-6     0.16825880105146135
1.2468393265783456E-6     0.1684209524843237
1.2537465437590094E-6     0.16861895350787623
1.2639802612687135E-6     0.16887639074903577
1.266845204827557E-6      0.16895074154717044
1.2746895298010171E-6     0.16912828946828243
1.2799375721456754E-6     0.1692496620600552
1.2818275115597737E-6     0.16928696956593736
1.2930205433721124E-6     0.1695174123954426
1.3000020858852336E-6     0.16963913542427123
1.3062583274471345E-6     0.16975283085900522
1.319319729204879E-6      0.16995098553538096
1.3196699954757356E-6     0.16995652176887638
1.3204654026210153E-6     0.1699667059041685
1.333081663504336E-6      0.1701342217924885
1.3386534185142038E-6     0.17019237584588814
1.346721285972853E-6      0.17028185278838717
1.3580268550195998E-6     0.17037679160196983
1.36032973632824E-6       0.17039770731402207
1.364091185514394E-6      0.17042120866001095
1.3737871967902343E-6     0.170487758200409
1.3784822765148953E-6     0.17050755279304472
1.3864786689799166E-6     0.17054664335384678
1.395642552906209E-6      0.17056963102089262
1.3991701411695983E-6     0.17058085228787778
1.409188545718426E-6      0.1705888768790309
1.4118984575939499E-6     0.17059231111109205
1.4130098642774463E-6     0.1705910402434096
1.425087181804056E-6      0.17058535183485024
1.4311215304430212E-6     0.1705697412378297
1.438284538218004E-6      0.17055476719583818
1.4492331966085957E-6     0.17050871247916535
1.4514818946319515E-6     0.17050036994975787
1.4564588806322994E-6     0.17047203209235912
1.4646184936650926E-6     0.1704281831009098
1.4685959182869818E-6     0.17039920602045522
1.4777045284498645E-6     0.17033725620597495
1.4879630406634936E-6     0.17024816629006598
1.4907686054164507E-6     0.17022500439878493
1.4972780119757023E-6     0.1701595322574136
1.5044293351385316E-6     0.17008956735989053
1.50755304747417E-6       0.1700536004797303
1.5180900648606127E-6     0.1699367211187554
1.5271808114044772E-6     0.16982015121610286
1.5316622263673657E-6     0.16976446859248145
1.5424421559173837E-6     0.169613096706758
1.544833264488427E-6      0.16958009843288088
1.5457538139158033E-6     0.16956598403980092
1.557943283687214E-6      0.16938372666543303
1.563911040427756E-6      0.16928535296036032
1.5710533028860016E-6     0.16917033638491252
1.5821639957548211E-6     0.16897534898284472
1.5845417125174064E-6     0.1689344517049686
1.5906254558160732E-6     0.1688212825557218
1.5977418347996837E-6     0.16869041509831895
1.600523137817835E-6      0.16863536956166478
1.610941957081961E-6      0.16843284759683425
1.6185997564656873E-6     0.16827395783941665
1.6232560047151366E-6     0.16817917705588376
1.633890044993038E-6      0.1679496159339763
1.6355700523483123E-6     0.1679137434546506
1.6363056646934448E-6     0.16789713013119023
1.6481109034129078E-6     0.16763463972975137
1.654064656478261E-6      0.16749536844592156
1.659883379594864E-6      0.16736116455093225
1.671574524855745E-6      0.16707890199790335
1.6716580056494583E-6     0.1670769047229048
1.671698112800251E-6      0.16707589976039663
1.6837416712792493E-6     0.16677867489955922
1.6919827472836034E-6     0.16656598574997789
1.6974504355823292E-6     0.16642695987024558
1.7043091042562257E-6     0.16624533768628413
1.71014146844999E-6       0.16609137008667024
1.7147909931569538E-6     0.1659637280976603
1.722832501317651E-6      0.16574631190277728
1.7279027881796353E-6     0.1656049304981319
1.7331649511289095E-6     0.1654582740444629
1.7422837161207113E-6     0.1651979753312023
1.7441316866117813E-6     0.1651447208196619
1.7571531904105852E-6     0.16476566694564304
1.7598639937524484E-6     0.1646853397986246
1.7691910701748004E-6     0.16440776129331608
1.7753759278907858E-6     0.16421955458019985
1.7805976394992664E-6     0.16406074207436452
1.7892764122142641E-6     0.16379175839586171
1.7927902636573962E-6     0.16368249896564332
1.8023591760093163E-6     0.16338016681283166
1.8068471440053845E-6     0.16323675756632566
1.8156655291283819E-6     0.16295338578918128
1.8277031339354781E-6     0.16255958523376923
1.828756125757703E-6      0.16252507886196882
1.8298294990675386E-6     0.16248913196039746
1.8397996722876482E-6     0.16215905896404725
1.8479238452987148E-6     0.1618846606617954
1.8523893060516912E-6     0.16173364927222603
1.8624604050774497E-6     0.16138736033157228
1.8650107095783536E-6     0.1613002763930142
1.8662881437708168E-6     0.1612558679341281
1.877759153808685E-6      0.16085707349075867
1.8852484264690636E-6     0.160592476661415
1.889955924419259E-6      0.16042593839059371
1.8998942471535683E-6     0.160070220797766
1.9020847749113261E-6     0.1599916424548518
1.912640554933043E-6      0.15960860319743583
1.9142136254033944E-6     0.15955165231343735
1.9146919908577526E-6     0.15953412086513594
1.923395600484081E-6      0.15921568604989222
1.929903517298062E-6      0.15897451109139046
1.9325775755647673E-6     0.15887598024180405
1.9361538289092255E-6     0.15874251763347488
1.9418330613069166E-6     0.15853093221806586
1.951961600868021E-6      0.15814946319387652
1.953963132313881E-6      0.15807381743718169
1.96519412700101E-6       0.1576461572348008
1.966093203320845E-6      0.15761180377971837
1.975985542104374E-6      0.1572310046211531
1.978135283117515E-6      0.15714834495389257
1.978414809627041E-6      0.1571375442507033
1.9932392558083363E-6     0.15656068873130677
1.9941444164656588E-6     0.1565252723162123
2.0E-6                    0.15629467145151044
