# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.56196549	9.97470031e-01
0.56214054	9.95051797e-01
0.56231558	9.92642043e-01
0.56249062	9.90244359e-01
0.56266567	9.87863508e-01
0.56284071	9.85490937e-01
0.56301575	9.83126592e-01
0.56319080	9.80770419e-01
0.56336584	9.78422366e-01
0.56354089	9.76082380e-01
0.56371593	9.73750409e-01
0.56389097	9.71426401e-01
0.56406602	9.69110304e-01
0.56424106	9.66802070e-01
0.56441610	9.64501646e-01
0.56459115	9.62221073e-01
0.56476619	9.59950277e-01
0.56494124	9.57689519e-01
0.56511628	9.55437498e-01
0.56529132	9.53192971e-01
0.56546637	9.50955892e-01
0.56564141	9.48726214e-01
0.56581645	9.46503891e-01
0.56599150	9.44288877e-01
0.56616654	9.42081127e-01
0.56634159	9.39880595e-01
0.56651663	9.37691613e-01
0.56669167	9.35516524e-01
0.56686672	9.33348493e-01
0.56704176	9.31187478e-01
0.56721680	9.29033434e-01
0.56739185	9.26886320e-01
0.56756689	9.24746093e-01
0.56774194	9.22612712e-01
0.56791698	9.20486136e-01
0.56809202	9.18366323e-01
0.56826707	9.16253233e-01
0.56844211	9.14146825e-01
0.56861715	9.12059641e-01
0.56879220	9.09979780e-01
0.56896724	9.07910985e-01
0.56914229	9.05850534e-01
0.56931733	9.03796478e-01
0.56949237	9.01748776e-01
0.56966742	8.99707393e-01
0.56984246	8.97672292e-01
0.57001750	8.95643436e-01
0.57019255	8.93620788e-01
0.57036759	8.91604313e-01
0.57054264	8.89599229e-01
0.57071768	8.87605840e-01
0.57089272	8.85618492e-01
0.57106777	8.83637150e-01
0.57124281	8.81661779e-01
0.57141785	8.79692345e-01
0.57159290	8.77728814e-01
0.57176794	8.75771153e-01
0.57194299	8.73819329e-01
0.57211803	8.71873308e-01
0.57229307	8.69933057e-01
0.57246812	8.67998976e-01
0.57264316	8.66082505e-01
0.57281820	8.64171679e-01
0.57299325	8.62268604e-01
0.57316829	8.60371845e-01
0.57334334	8.58480612e-01
0.57351838	8.56594873e-01
0.57369342	8.54714599e-01
0.57386847	8.52839759e-01
0.57404351	8.50970323e-01
0.57421855	8.49106262e-01
0.57439360	8.47247546e-01
0.57456864	8.45400126e-01
0.57474369	8.43562396e-01
0.57491873	8.41729901e-01
0.57509377	8.39902612e-01
0.57526882	8.38080502e-01
0.57544386	8.36263542e-01
0.57561890	8.34451705e-01
0.57579395	8.32644962e-01
0.57596899	8.30843288e-01
0.57614404	8.29046655e-01
0.57631908	8.27255035e-01
0.57649412	8.25469896e-01
0.57666917	8.23700020e-01
0.57684421	8.21935052e-01
0.57701925	8.20178169e-01
0.57719430	8.18427053e-01
0.57736934	8.16680733e-01
0.57754439	8.14939183e-01
0.57771943	8.13202379e-01
0.57789447	8.11470295e-01
0.57806952	8.09742908e-01
0.57824456	8.08020193e-01
