# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.56686672	1.22140623e-01
0.56704176	1.21850754e-01
0.56721680	1.21561867e-01
0.56739185	1.21273955e-01
0.56756689	1.20987012e-01
0.56774194	1.20701033e-01
0.56791698	1.20416012e-01
0.56809202	1.20131941e-01
0.56826707	1.19848815e-01
0.56844211	1.19566629e-01
0.56861715	1.19287035e-01
0.56879220	1.19008462e-01
0.56896724	1.18730807e-01
0.56914229	1.18454064e-01
0.56931733	1.18178226e-01
0.56949237	1.17903289e-01
0.56966742	1.17629247e-01
0.56984246	1.17356094e-01
0.57001750	1.17083825e-01
0.57019255	1.16812434e-01
0.57036759	1.16541917e-01
0.57054264	1.16272966e-01
0.57071768	1.16005623e-01
0.57089272	1.15739133e-01
0.57106777	1.15473492e-01
0.57124281	1.15208695e-01
0.57141785	1.14944736e-01
0.57159290	1.14681610e-01
0.57176794	1.14419312e-01
0.57194299	1.14157838e-01
0.57211803	1.13897183e-01
0.57229307	1.13637341e-01
0.57246812	1.13378366e-01
0.57264316	1.13121781e-01
0.57281820	1.12865991e-01
0.57299325	1.12610991e-01
0.57316829	1.12356778e-01
0.57334334	1.12103347e-01
0.57351838	1.11850692e-01
0.57369342	1.11598810e-01
0.57386847	1.11347696e-01
0.57404351	1.11097346e-01
0.57421855	1.10847754e-01
0.57439360	1.10598918e-01
0.57456864	1.10351619e-01
0.57474369	1.10105645e-01
0.57491873	1.09860411e-01
0.57509377	1.09615911e-01
0.57526882	1.09372141e-01
0.57544386	1.09129097e-01
0.57561890	1.08886776e-01
0.57579395	1.08645172e-01
0.57596899	1.08404282e-01
0.57614404	1.08164103e-01
0.57631908	1.07924629e-01
0.57649412	1.07686054e-01
0.57666917	1.07449536e-01
0.57684421	1.07213710e-01
0.57701925	1.06978569e-01
0.57719430	1.06744112e-01
0.57736934	1.06510334e-01
0.57754439	1.06277232e-01
0.57771943	1.06044801e-01
0.57789447	1.05813039e-01
0.57806952	1.05581940e-01
0.57824456	1.05351503e-01
0.57841960	1.05121723e-01
0.57859465	1.04893474e-01
0.57876969	1.04666311e-01
0.57894474	1.04439793e-01
0.57911978	1.04213914e-01
0.57929482	1.03988672e-01
0.57946987	1.03764064e-01
0.57964491	1.03540085e-01
0.57981995	1.03316733e-01
0.57999500	1.03094004e-01
0.58017004	1.02871895e-01
0.58034509	1.02650402e-01
0.58052013	1.02429840e-01
0.58069517	1.02211027e-01
0.58087022	1.01992817e-01
0.58104526	1.01775208e-01
0.58122031	1.01558196e-01
